SystemId,PPV,total
stangnes-gw,0.17936354869816779,1792
rodbergvn-gw2,0.23185840707964603,1791
narvik-gw4,0.38898756660746003,1800
tromso-fh-gw,0.44081632653061226,1785
tromso-gw5,0.4,1784
teknobyen-gw1,0.7762128325508607,1757
narvik-gw3,0.4004078857919782,1791
hovedbygget-gw,0.35355450236966823,1800
hoytek-gw2,0.503370786516854,1800
teknobyen-gw2,0.3516609392898053,1779
ma2-gw,0.2722772277227723,1800
bergen-gw3,0.2214765100671141,1800
narvik-kv-gw,0.4015544041450777,1782
trd-gw,0.7471590909090909,1800
ifi2-gw5,0.3222354340071344,1782
oslo-gw1,0.3293051359516616,1800